Río de los Remedios;19.4978324;-99.1479776
Impulsora;19.326496;-99.1736992
Nezahualcóyotl;19.3903563;-99.1127179
Villa de Aragón;19.46167065;-99.0613767056642
Bosque de Aragón;19.4580903;-99.0693055390747
Deportivo Oceanía;19.45100425;-99.079210549731
Romero Rubio;19.4406994;-99.0943508607171
Ricardo Flores Magón;19.436573;-99.1036728245718
Tepito;19.4646536;-99.1119499
Lagunilla;19.4449212;-99.1450908
Garibaldi;19.443981;-99.1388187
Buenavista;19.4449212;-99.1450908
Insurgentes Sur;19.3737093;-99.1787103
20 de Noviembre;19.4442934;-99.1091012
Parque de los Venados;19.3695592;-99.1655596
Eje Central;19.4710108;-99.1373979
Mexicaltzingo;19.3424974;-99.137664
Culhuacán;19.3577446;-99.0935577
San Andrés Tomatlán;19.3577446;-99.0935577
Lomas Estrella;19.3159883;-99.0727115
Calle 11;19.429418;-99.2206543
Periférico Oriente;19.3159883;-99.0727115
Tezonco;19.3426163;-99.0565149
Olivos;19.3252505;-99.1738251
Nopalera;19.300161;-99.046163118309
Zapotitlán;19.2905708;-99.019408
Tlaltenco;19.2905708;-99.019408
Tláhuac;19.2905708;-99.019408
